symbol,name,yahoo_symbol
S5US,S&P Custom/Primasia Semi50 Index [TR]
S6CD,S&P SmallCap600 Capped Consumer Discretionary [s
S6CS,S&P SmallCap600 Capped Consumer Staples [sector]
S6EP,S&P SmallCap600 Capped Energy [sector]Index
S6FI,S&P 600 Stocks Above 50-Day Average
S6FP,S&P SmallCap600 Capped Financials [sector]Index
S6HC,S&P SmallCap600 Capped HealthCare [sector]Index
S6IP,S&P SmallCap600 Capped Industrials [sector]Index
S6MP,S&P SmallCap600 Capped Materials [sector]Index
S6OF,S&P 600 Stocks Above 150-Day Average
S6OH,S&P 600 Stocks Above 100-Day Average
S6TH,S&P 600 Stocks Above 200-Day Average
S6TP,S&P SmallCap600 Capped Information Technology [s
S6TR,S&P 500 Consumer Services [TR]
S6TW,S&P 600 Stocks Above 20-Day Average
S6UP,S&P SmallCap600 Capped Utilities & Telecom Servi
S7TR,S&P 500 Diversified Financials [TR]
S8TR,S&P 500 Energy [TR]
S9TR,S&P 500 Food & Staples Retailing [TR]
SAAA,S&P Asia Alternative Energy Index
SAAB,S&P Asia Infrastructure Index
SAAC,S&P Asia Water Index
SAAE,RBS Clean Renewable Energy USDTR Index
SAAI,RBS India ADR/GDRTR Index
SAAM,RBS Global Metal & Mining TR Index
SAAV,RBS Vastgoed PR Index [EUR]
SAAW,RBS Water Stocks USD TR Index
SACC,Alpha Shares China Small Cap Index
SACN,Alpha Shares China Technology Index
SACP,RBS Climate Change & Environment EURPR Index
SACT,RBS Climate Change & Environment EURTR Index
SAEI,S&P Global Alternative Energy Index [EURO]
SAER,S&P GSCI Agriculture Capped Component 35/20 EUR
SAEU,S&P Global Alternative Energy Index
SAIE,S&P Africa 40 Index [EURO]
SAIT,DWS Agri X Index [TR]
SAIU,S&P Africa 40 Index
SAJR,MSCI WISE ASIA Ex-Japan Top [Net TR]
SAJT,MSCI WISE ASIA Ex-Japan Top
SANA,S&P Agribusiness North America
SANC,S&P Agribusiness North America CAD
SAPE,S&P Asia Property 40 Index
SAPT,S&P GSCI All Metals Capped Commodity 35/20 EUR I
SAPU,S&P Asia Property 40 Index [EURO]
SAQA,S&P Global Water Index
SAQE,S&P Global Water Index [EURO]
SASE,RBS Solar Energy TR Index
SAUE,S&P GSCI Agriculture Capped Component 35/20 EUR
SAWP,RBS Wind PR Index
SAWT,RBS Wind TR Index
SBAI,S&P Brazil ADR Index
SBER,S&P GSCI Biofuel Index Excess Return
SBES,BLO M Emerging Shariah Index [NetTR]
SBIC,S&P BMI [Capped]Ireland [USDollar]
SBNP,S&P Custom/BNP Paribas SPECTRUMUS Sect or Moment
SBRX,RBS BRIC 11 PR Index
SBSE,S&P BRIC Shariah Index [EURO]
SBSU,S&P BRIC Shariah Index
SBTR,S&P GSCI Biofuel Index Total Return
SBUP,S&P Food & Beverage Select Industry Index
SC8I,Core 8 Index
SCBI,SG I Global Carbon [NetUSD]
SCBR,S&P BMI Russia [Capped] [USDollar]
SCEI,CS/RT Emerging Infrastructure Index [NetTR]
SCGD,Credit Suisse Germany Index
SCGO,Credit Suisse Global Nanotech Index
SCGT,Beacon Global Timber Index
SCII,CAT China Infrastructure [TR]
SCIR,S&P GSCI North American Copper Index Excess Retu
SCIS,S&P GSCI North American Copper Index
SCIT,S&P GSCI North American Copper Index Total Retur
SCNI,IPO X China 20 Index [USD] [P] na Index
SCPC,S&P Custom/Polaris China Play Index [TWD]
SCPX,Credit Suisse Germany Price Return Index
SCQI,Citigroup Quant Idols Index [NetTR]
SCRC,S&P /CITIC China 30 Index
SCRE,Alpha Shares China Real Estate Index
SCSC,S&P /CITIC 300 Index
SCSE,S&P /CITIC 50 Index
SCSR,CS/RT Emerging Infrastructure Price Return Index
SCUT,S&P/CITIC 300 -  Utilities [Sector]
SCVM,Citigroup Asian Value Momentum Index [NetTR]
SCWI,CAT China Water [TR]
SCWP,S&P Developed Ex-U.S.Property [USDollar]
SCYE,S&P Chinese Renminbi Price Return Index
SCYI,S&P Chinese Renminbi Total Return
SDCG,Defined MultiCap Growth Index
SDCI,DWS Climax Index [EURO] [TR]
SDCV,Defined MultiCap Value Index
SDDE,Wisdom Tree Domestic Dividends Index ex Financia
SDDM,DWA International Developed Markets Technical Le
SDDV,DWS Top Divide X Index [TR]
SDEM,DWA International Emerging Markets Technical Lea
SDEW,S&P 400 Midcap Equal Weighted Index
SDGO,Defined Large Cap Growth Opportunities Index
SDIP,S&P DCFI Index Excess Return
SDIS,S&P DCFIIndex
SDIT,S&P DCFI Index Total Return
SDLC,Defined Large Cap Core Index
SDMC,Defined Mid Cap Core Index
SDPI,Goldman Sachs BRICs Nifty 50 Developed Markets I
SDSC,Defined Small Cap Core Index
SDTI,Goldman Sachs BRICs Nifty 50 Developed Markets I
SDTR,S&P 500 Food Beverage & Tobacco [TR]
SDTS,S&P Diversified Trends Indicator
SDTT,S&P Diversified Trends Total Return Indicator Le
SDVO,Defined Large Cap Value Opportunities Index
SDWB,DWS BRIX Index [TR]
SDWG,DWS Germax Index [TR]
SDWI,DWS Infrastru X Index [TR]
SEAN,S&P Southeast Asia 40 Index [NetTR]
SEBI,S-Network Emerging Infrastructure Builders Index
SECA,S&P GSCI Enhanced Commodity Index
SECB,S&P GSCI Enhanced Commodity Index Excess Return
SECC,S&P GSCI Enhanced Commodity Index Total Return
SEIB,S-Network Emerging Infrastructure Builders Index
SEIE,S&P Global Eco Index [EURO]
SEII,CS/RT Emerging Infrastructure Index
SEIT,S&P Global REIT [AUD]
SEIU,S&P Global Eco Index
SEMT,Brics Nifty 50 Emerging Market Tradable Index Tr
SFTR,S&P 500 - Pharmaceuticals Biotechnology & Life
SG0A,S&P GSCI Agriculture & Live Stock Index
SG0B,S&P GSCI Agriculture & Live Stock Index Excess R
SG0C,S&P GSCI Agriculture & Live Stock Index Total Re
SG0D,S&P GSCI Agriculture Index Excess Return
SG0E,S&P GSCI Agriculture Index Total Return
SG0F,S&P GSCI All Cattle Index
SG0G,S&P GSCI All Cattle Index Excess Return
SG0H,S&P GSCI All Cattle Index Total Return
SG0I,S&P GSCI All Crude Index
SG1A,S&P GSCI All Crude Index Total Return
SG1B,S&P GSCI All Wheat Index
SG1C,S&P GSCI All Wheat Index Excess Return
SG1D,S&P GSCI All Wheat Index Total Return
SG1E,S&P GSCI Aluminum Index
SG1F,S&P GSCI Aluminum Index Excess Return
SG1G,S&P GSCI Aluminum Index Total Return
SG1H,S&P GSCI Soybean Oil Index
SG1I,S&P GSCI Soybean Oil Index Excess Return
SG1J,S&P GSCI All Crude Index Excess Return
SG2A,S&P GSCI Brent Crude Index
SG2B,S&P GSCI Brent Crude Index Excess Return
SG2C,S&P GSCI Brent Crude Index Total Return
SG2D,S&P GSCI Cocoa Index
SG2E,S&P GSCI Cocoa Index Excess Return
SG2F,S&P GSCI Cocoa Index Total Return
SG2G,S&P GSCI Coffee Index Co Index
SG2H,S&P GSCI Coffee Index Excess Return
SG2I,S&P GSCI Coffee Index Total Return
SG2J,S&P GSCI Soybean Oil Index Total Return
SG3A,S&P GSCI Copper Index Excess Return
SG3B,S&P GSCI Copper Index Total Return
SG3C,S&P GSCI Corn Index
SG3D,S&P GSCI Corn Index Excess Return
SG3E,S&P GSCI Corn Index Total Return
SG3F,S&P GSCI Cotton Index
SG3G,S&P GSCI Cotton Index Excess Return
SG3H,S&P GSCI Cotton Index Total Return
SG3I,S&P GSCI Crude Oil Index
SG3J,S&P GSCI Copper Index
SG4A,S&P GSCI Crude Oil Index Total Return
SG4B,S&P GSCI Energy and Metals Index
SG4C,S&P GSCI Energy and Metals Index Excess Return
SG4D,S&P GSCI Energy and Metals Index Total Return
SG4E,S&P GSCI Energy Index Excess Return
SG4F,S&P GSCI Energy Index Total Return
SG4G,S&P GSCI Feeder Cattle Index
SG4H,S&P GSCI Feeder Cattle Index Excess Return
SG4I,S&P GSCI Feeder Cattle Index Total Return
SG4J,S&P GSCI Crude Oil Index Excess Return
SG5A,S&P GSCI Gas Oil Index Excess Return
SG5B,S&P GSCI Gas Oil Index Total Return
SG5C,S&P GSCI Gold Index
SG5D,S&P GSCI Gold Index Excess Return
SG5E,S&P GSCI Gold Index Total Return
SG5F,S&P GSCI Grains Index
SG5G,S&P GSCI Grains Index Excess Return
SG5H,S&P GSCI Grains Index Total Return
SG5I,S&P GSCI Heating Oil Index
SG5J,S&P GSCI Gas Oil Index
SG6A,S&P GSCI Heating Oil Index Total Return
SG6B,S&P GSCI Industrial Metals Index Excess Return
SG6C,S&P GSCI Industrial Metals Index Total Return
SG6D,S&P GSCI Kansas Wheat Index
SG6E,S&P GSCI Kansas Wheat Index Excess Return
SG6F,S&P GSCI Kansas Wheat Index Total Return
SG6G,S&P GSCI Lead Index
SG6H,S&P GSCI Lead Index Excess Return
SG6I,S&P GSCI Lead Index Total Return
SG6J,S&P GSCI Heating Oil Index Excess Return
SG7A,S&P GSCI Lean Hogs Index Excess Return
SG7B,S&P GSCI Lean Hogs Index Total Return
SG7C,S&P GSCI Light Energy Index [CPW4]
SG7D,S&P GSCI Light Energy Index [CPW4] Excess Return
SG7E,S&P GSCI Light Energy Index [CPW4] Total Return
SG7F,S&P GSCI Live Cattle Index
SG7G,S&P GSCI Live Cattle Index Excess Return
SG7H,S&P GSCI Live Cattle Index Total Return
SG7I,S&P GSCI Livestock Index Excess Return
SG7J,S&P GSCI Lean Hogs Index
SG8A,S&P GSCI Natural Gas Index
SG8B,S&P GSCI Natural Gas Index Excess Return
SG8C,S&P GSCI Natural Gas Index Total Return
SG8D,S&P GSCI Nickel Index
SG8E,S&P GSCI Nickel Index Excess Return
SG8F,S&P GSCI Nickel Index Total Return
SG8G,S&P GSCI Non-Energy Index Excess Return
SG8H,S&P GSCI Non-Energy Index
SG8I,S&P GSCI Non-Energy Index Total Return
SG8J,S&P GSCI Livestock Index Total Return
SG9A,S&P GSCI Non-Livestock Index Excess Return
SG9B,S&P GSCI Non-Livestock Index Total Return
SG9C,S&P GSCI Non-Natural Gas Index
SG9D,S&P GSCI Non-Natural Gas Index Excess Return
SG9E,S&P GSCI Non-Natural Gas Index Total Return
SG9F,S&P GSCI Non-Precious Index
SG9G,S&P GSCI Non-Precious Index Excess Return
SG9H,S&P GSCI Non-Precious Index Total Return
SG9I,S&P GSCI Petroleumex-Gas Oil Index
SG9J,S&P GSCI Non-Livestock Index
SGAA,S&P Global Agribusiness Composite Index USD
SGAB,S&P Global Agribusiness Composite Index EUR
SGAC,S&P Global Agribusiness Equity Index
SGAD,S&P Global Agribusiness Equity Index [EURO]
SGAG,IQ AGRI PLACE HOLDER
SGCC,S&P GSCI Capped Commodity 35/20 Index
SGCE,SGI Global Carbon
SGCP,IQ CPI Inflation Tracker Index
SGCR,S&P GSCI All Metals Capped Index Excess Return
SGDO,S&P Global Dividend Opportunities Index
SGED,IQ Hedge Event-Driven Index
SGEI,Credit Suisse Emerging Market Infrastructure Ind
SGEP,Credit Suisse Emerging Market Infrastructure Pri
SGET,Goldman Sachs Liquefied Natural Gas Index [EURO]
SGEY,Credit Suisse Emerging Market Infrastructure Ind
SGGE,S-Network Global Gaming Index [EURO]
SGGM,IQ Hedge Macro Index
SGGN,IQ GLOBAL RESOURCES INDEX
SGGS,IQ Australia Small Cap
SGIA,S&P North American Natural Resources Sector Inde
SGIB,S&P North American Technology Sector Index
SGIC,S&P North American Technology Hardware Index
SGID,S&P North American Technology Software Index
SGIE,S&P North American Technology Services Index
SGIF,S&P North American Technology Multimedia Network
SGIG,S&P North American Technology Internet Index
SGIH,S&P North AmericanT echnology Semiconductors Ind
SGIR,S&P GSCI All Metals Index Excess Return
SGJ,S&P GSCI Energy
SGK,S&P GSCI Agriculture
SGLE,Goldman Sachs Liquefied Natural Gas Index [EURO]
SGLN,SGI Global Security Index [EURO] [TR]
SGLS,SGI Global Security Index [EURO]
SGLT,Goldman Sachs Liquefied Natural Gas Index [TR]
SGMA,S&P GSCI All Metals Index
SGME,SGI Global Momentum [NetTR] [EURO] [NetTR] [NEWV
SGMN,IQ Hedge Market Neutral Index
SGMS,IQ Hedge Multi-Strategy Index
SGMU,SGI Global Momentum [NetTR] [NEWVA]
SGNC,Credit Suisse Global Nanotech Index  [SWISS FRAN
SGNM,IQ Merger Arbitrage Index Merger Arrage Index
SGNX,Credit Suisse Global Nanotech Index [EURO]
SGON,S&P Global Dividend Opportunities Index [NetTR]
SGOS,IQ South Korea Small Cap
SGP,S&P GSCI Precious Metals
SGPA,S&P GSCI All Metals Capped Index
SGPG,S&P GSCI Agriculture Capped Index
SGPP,S&P GSCI Capped Commodity 35/20 Index Excess Ret
SGPR,S&P GSCI Agriculture Capped Index Total Return
SGPT,S&P GSCI Capped Commodity 35/20 Index Total Retu
SGQA,S&P GSCI Petroleumex-Gas Oil Index Total Return
SGQB,S&P GSCI Petroleum Index
SGQC,S&P GSCI Petroleum Index Excess Return
SGQD,S&P GSCI Petroleum Index Total Return
SGQE,S&P GSCI Precious Metals Index Excess Return
SGQF,S&P GSCI Precious Metals Index Total Return
SGQG,S&P GSCI Reduced Energy Index [CPW2]
SGQH,S&P GSCI Reduced Energy Index [CPW2] Excess Retu
SGQI,S&P GSCI Reduced Energy Index [CPW2] Total Retur
SGQJ,S&P GSCI Petroleumex GasOil Index Excess Return
SGRC,S&P GSCI All Metals Capped Commodity 35/20 EUR I
SGRE,S&P GSCI All Metals Capped Commodity 35/20 EUR I
SGRG,S&P GSCI Agriculture Capped Index Excess Return
SGRM,Cohen & Steers Global Realty Majors Portfolio [T
SGRT,S&P GSCI Agriculture Capped Component 35/20 EUR
SGSA,S&P GSCI Silver Index
SGSB,S&P GSCI Silver Index Excess Return
SGSC,S&P GSCI Silver Index Total Return
SGSD,S&P GSCI Soybeans Index
SGSE,S&P GSCI Excess Return
SGSF,S&P GSCI Soybeans Index Excess Return
SGSG,S&P GSCI Soybeans Index Total Return
SGSH,S&P GSCI Sugar Index
SGSJ,S&P GSCI Sugar Index Excess Return
SGSK,S&P GSCI Sugar Index Total Return
SGSM,S&P GSCI Ultra-Light Energy Index [CPW8] Excess
SGSN,S&P GSCI Ultra-Light Energy Index [CPW8] Total R
SGSO,S&P GSCI Unleaded Gasoline Index
SGSP,S&P GSCI Unleaded Gasoline Index Excess Return
SGSQ,S&P GSCI Unleaded Gasoline Index Total Return
SGSR,S&P GSCI Wheat Index
SGSS,S&P GSCI Wheat Index Excess Return
SGST,S&P GSCI Wheat Index Total Return
SGSU,S&P GSCI Zinc Index
SGSV,S&P GSCI Zinc Index Excess Return
SGSW,S&P GSCI Zinc Index Total Return
SGSX,S&P GSCI Ultra-LightEnergyIndex [CPW8]
SGT,S&P GSCI Total Return
SGTR,S&P GSCI All Metals Capped Index Total Return
SGV,CASINO GAMING
SGWA,Credit Suisse Global Warming Index Exchange Seri
SGWC,Credit Suisse Global Warming Price Index
SGWE,Credit Suisse Global Warming Index EUR
SGWI,Credit Suiss eGlobal Warming Index Exchange Seri
SGWM,Credit Suisse Global Warming Index
SGWN,SGI Global Wealth Effect [NetTR]
SGWP,SGI Global Wealth Effect
SGWT,S&P GSCI Select Equal Weight Index Tr
SGX,S&P GSCI FPI Index
SGY,S&P GSCI Industrial Metals
SHEP,Credit Suisse Hs60 Europe Index Powered By Holt
SHEU,HS60 Europe Index
SHGL,IQ Hedge Long/Short Index
SHLD,Credit Suisse Healthy Living Index USD
SHLP,Credit Suisse Healthy Living Price Index
SHLS,Credit Suisse Healthy Living Price Index USD
SHLX,Credit Suisse Healthy Living Index
SHSB,HS60 Index
SHSD,HS60-EURO Index
SHTR,S&P 500 HealthCare Equipment & Services [TR]
SHUS,HS60 US Index
SHX,PHLX MARINE SHIPPING INDEX
SIDO,S&P International Dividend Opportunities Index
SIII,Indus India Index
SIIN,S&P India Select Index
SIIP,S&P DFFI Index Excess Return
SIIS,S&P DFFI Index
SIIT,S&P DFFI Index Total Return
SIN,ISE Sindex Index
SINE,S&P India 10 Index [EURO]
SINU,S&P India 10 Index
SIPA,IPOX-30 Asia [USD] [P]
SIPC,IPOX Global 30 Index [USD] [P]
SIPO,IPOX-100 U.S. [USD] [P]
SIPR,Brics Nifty 50 Emerging Market Tradable Index Pr
SIPT,IPOX-30 U.S. [USD] [P]
SIRI,S&P Indian Rupee Total Return
SIRP,Cohen & Steers International Realty Majors Portf
SIS,AMEX Semiconductor Index
SITR,S&P 500 Insurance [TR]
SIUT,S&P 500 2x Inverse Daily Index
SIV,Cboe/Cbot Soybean Volatility Index
SIXO,JP Morgan IPOX Europe 50 Index EUR [P]
SIXT,IPOX-30 Europe [EURO] [P]
SJEJ,S&P Japan Eco [JPY]
SJGA,Janney Global Water Index
SJGE,Janney Global Water Index [EURO]
SJPA,S&P Japan 500
SJPB,S&P Japan Mid Cap 100
SJPC,S&P Japan Small Cap 250 Index
SJPD,S&P TOPIX YEN
SJPE,S&P JES100
SJRI,S&P Japan Regional Index-Tokai
SJTA,Janney Water Tech
SJTE,Janney Water Tech [EURO]
SJTR,S&P 500 Semiconductors & Semiconductor Equipment
SJWA,Janney Water Works
SJWE,Janney Water Works [EURO]
SKTR,S&P 500 Materials [TR]
SLAC,S&P LAC40 [US$] [EURO] [NetTR]
SLCG,Wisdom Tree Large Cap Growth Index
SLCN,S&P US Carbon Efficient Index U.S. Carbci Index
SLCT,S&P U.S. Carbon Efficient Index [TR]
SLCU,S&P U.S. Carbon Efficient Index [NetTR]
SLEE,S&P GSCI Light Energy EUR Index
SLER,S&P GSCI Light Energy EUR Index ER
SLEW,S&P 600 Smallcap Equal Weighted Index
SLPE,Global Listed Private Equity Index
SLPX,Cushing 30 MLP Index USD Price Return
SLQR,S&P  500 Low Quality Rankings
SLRT,S&P GSCI Light Energy EUR Index TR
SLUN,S&P 500 2x Leverage Daily Index
SLUT,S&P 500 Gold Hedged Index
SLV,Silver Index
SMIS,RBS Emerging Market Infrastructure Strategy Inde
SML,S&P Small Caps 600 Index
SMPR,Goldman Sachs BRICs Nifty 50 Emerging Markets In
SMRW,Revenue Shares MidCap Fund
SMSS,Morgan Stanley Smart Money Equity Index [TR]
SMTA,IQ Taiwan Small Cap Index PALCE HOLDER
SMTI,Goldman Sachs BRICs Nifty 50 Emerging Markets In
SMTR,S&P GSCI All Metals Index Total Return
SMXT,DWS Mega Trends Index [NetTRw/fees]
SN0G,S-Net ITG Agriculture Index
SN0H,S-Net ITG Agriculture Index [EURO]
SN0I,S-Net ITG Agriculture Index [NetTR]
SN1J,S-Net ITG Agriculture Index [EURO] [NetTR]
SNAC,Alpha Shares China All Cap Index
SNCE,Next 11 Core 5 Index
SNCH,Next 11 Core 8 Index
SNCT,Next 11 Core 8 Index [TR]
SNEI,S&P Global Nuclear Energy Index [EURO]
SNER,S&P GSCI Non-Energy EUR IndexER
SNEU,S&P Global Nuclear Energy Index
SNIE,S-Network Global Nuclear Index [EURO]
SNIU,S-Network Global Nuclear Index
SNNE,S&P Global Infrastructure Index [EURO] [NetTR]
SNNT,S&P Global Infrastructure Index [NetTR]
SNPS,MPF/Noble Professional Services Index
SNPT,MPF/Noble Professional Services Index [TotalRetu
SNRE,S&P Global Natural Resources Index [EURO]
SNRT,S&P GSCI Non-Energy EUR Index TR
SNRU,S&P Global Natural Resources Index
SNTE,Next 11 Core 5 Index [TR]
SNUI,S&P GSCI Non-Energy EUR Index
SOBC,SGI-Orbeo Carbon Credit Index [EUR-TotalReturn]
SOCC,SGI-Orbeo Carbon Credit Index [USD-TotalReturn]
SOTR,S&P 500 Media [TR]
SP500,S&P 500
SPAA,SGI Pan Africa Index [NetTR] Panri Indexet
SPAB,SGI Pan Africa Index [EURO] [NetTR]
SPAC,SGI Pan Africa Index
SPAD,S&P GSCI Palladium Index
SPEE,S&P Listed Private Equity Index [EURO]
SPER,S&P GSCI Palladium Index Excess Return
SPEY,S&P Listed Private Equity Index
SPIN,S&P GSCI Platinum Index
SPIR,S&P GSCI Platinum Index Excess Return
SPLR,S&P GSCI Platinum Index Total Return
SPPR,S&P International Preferred Stock Index
SPRL,SGI Premium List [NetTR]
SPRT,S&P GSCI Palladium Index Total Return
SPSE,S&P Custom/Primasia Semi 50 Index
SPSI,PIMCO SPTR Master Index RT
SPSU,S&P COMPOSITE 1500 INDEX
SPSW,S&P Custom/Primasia Semi 50 Index [TWD]
SPSX,PIMCOTRAKRS IndexRT
SPUS,S&P  Global Ex-U.S. Property [US Dollar]
SPX,S&P 500 INDEX
SPXT,S&P 500 [TR]
SQIN,Credit Suisse Industrial Metals Equity Total Ret
SQNG,Credit Suisse Natural Gas Equity Total Return In
SQPM,Credit Suisse Precious Metals Equity Total Retur
SQPT,Credit Suisse Petroleum Equity Total Return Inde
SQTR,S&P 500 Software & Services [TR]
SRER,S&P Indian Rupee Price Return Index
SRFF,SGI Fed Funds Index
SRIC,S&P BRIC 40 Index [NetTR]
SRIE,S&P BRIC 40 Index [EURO] [NetTR]
SRMP,Cohen & Steers US Realty Majors Portfolio [TR]
SRPR,S&P Global REIT [USD]
SRTR,S&P 500 Real Estate [TR]
SRUP,S&P 500 High Quality Rankings Index
SRVA,Rogers Energy Producers Index [EURO]
SRVB,Rogers Metals Producers Index [EURO]
SRVC,Rogers Agricultural Producers Index [EURO]
SRVD,Rogers Energy Producers Index
SRVE,Rogers Metals Producers Index
SRVF,Rogers Agricultural Producers Index
SRVG,Rogers Producers Index
SRVH,Rogers Producers US Extra Liquid Index
SRVI,Rogers Producers Index [EURO]
SRVJ,Rogers Producers US Extra Liquid Index [EURO]
SRWI,Revenue Shares Large Cap Fund
SS1E,S&P 500 EQUAL WEIGHTED Materials [Sector]
SS1J,S&P 500 EQUAL WEIGHTED Energy [Sector]
SS2E,S&P 500 EQUAL WEIGHTED Consumer Discretionary [S
SS2J,S&P 500 EQUAL WEIGHTED Industrials [Sector]
SS3E,S&P 500 EQUAL WEIGHTED HealthCare [Sector]
SS3J,S&P 500 EQUAL WEIGHTED Consumer Staples [Sector]
SS4E,S&P 500 EQUAL WEIGHTED Information Technology [S
SS4J,S&P 500 EQUAL WEIGHTED Financials [Sector]
SS5E,S&P 500 EQUAL WEIGHTED Utilities [Sector]
SS5J,S&P 500 EQUAL WEIGHTED Telecommunication Service
SSAE,S&P Southeast Asia 40 Index [EURO]
SSAI,S&P Southeast Asia 40 Index [EURO] [NetTR]
SSAU,S&P Southeast Asia 40 Index
SSAX,S&P Asia50
SSBE,S&P BRIC 40 Index [EURO]
SSBR,S&P BRIC 40 Index
SSCA,S&P Asia Pacific Emerging BMI [USDollar]
SSCB,S&P Mid-East and Africa BMI [USDollar]
SSCC,Schwab Smallcap Index
SSCE,S&P /Citigroup BMI EPAC Index
SSCH,S&P China BMI [USDollar]
SSCI,IQ Canada SmallCap
SSCK,S&P EM BMI [USDollar]
SSCL,S&P Latin America BMI [USDollar]
SSCM,Schwab 1000 Index
SSCP,S&P /Citigroup BMI Asia Pacific Index
SSCQ,S&P European Emerging BMI [CAPPED] [USDollar]
SSCS,S&P Developed Ex US Under USD 2 Billion [USDolla
SSCU,S&P /Citigroup BMI Europe Index
SSCW,S&P Developed Ex-U.S.BMI [USDollar]
SSDI,S&P 500 Dividend Index
SSEC,Shanghai Composite
SSEN,SGI Global Senior [NetTR]
SSER,SPECTRUM-Long/Short 8% Index ER [NEWVA]
SSEW,S&P GSCI Select Equal Weight Index Spot
SSFA,Credit Suisse Family Index
SSFB,SGI Double Short Bund Index
SSFE,Credit Suisse Family Index [EUR] [Price Return]
SSFP,Credit Suisse Family Index [USD] [Price Return]
SSFT,Credit Suisse Family Index [CHF] [Price Return]
SSFU,Credit Suisse Family Index EUR
SSGA,SGI Global Agriculture
SSGB,S&P GSCI Biofuel Index
SSGC,S&P GSCI Enhanced Capped Index
SSGD,S&P GLOBAL1200-Consumer Discretionary [Sector]
SSGE,S&P GLOBAL1200-Energy [Sector]
SSGF,S&P GLOBAL1200-Financials [Sector]
SSGG,SGI Global Generics Index [EURO] [NetTR]
SSGH,S&P GLOBAL1200-HealthCare [Sector]
SSGI,S&P GLOBAL1200-Information Technology [Sector]
SSGL,S&P GLOBAL1200
SSGM,S&P GLOBAL1200-Materials [Sector]
SSGN,S&P GLOBAL1200-Industrials [Sector]
SSGO,S&P GSCI E27 WTI Index
SSGP,S&P GSCI Enhanced Capped Index Excess Return
SSGR,S&P GSCI Enhanced Capped Index Total Return
SSGS,S&P GLOBAL1200-Consumer Staples [Sector]
SSGT,S&P GLOBAL1200-Telecommunication Services [Secto
SSGU,S&P GLOBAL1200-Utilities [Sector]
SSGX,S&P GSCI E27WTI Index Excess Return
SSGZ,S&P GSCI E27WTI Index Total Return
SSHE,S&P Europe 350 Shariah Index
SSHF,Credit Suisse Family Index CHF
SSHJ,S&P Japan 500 Shariah Index
SSHX,S&P 500 Shariah Index
SSIA,Credit Suisse Social Awareness Index
SSIB,S&P GSCI Softs Index Excess Return
SSIC,S&P GSCI Softs Index Total Return
SSIP,S&P DFI Index Excess Return
SSIS,S&P DFI Index
SSIT,S&P DFI Index Total Return
SSKE,Credit Suisse Nordics Index Sek
SSKP,Credit Suisse Nordics Price Index  Sek
SSLF,S&P Select Frontier Index
SSLS,S&P Custom/BNP Paribas-SPECTRUM [GRIPTEST]
SSMI,Swiss Market
SSNI,SGI Global Nanotechnology Index [NetTR]
SSPA,S&P ADR Index
SSPE,S&P EUROPE 350
SSPF,S&P EUROPE 350 - Financials [Sector]
SSPI,S&P EUROPE 350 - Information Technology [Sector]
SSPL,S&P 500Telecom&IT
SSPN,S&P 500Energy[Sector]
SSPS,S&P 500Financials[Sector]
SSPT,S&P EUROPE 350 - Telecommunication Services [Sec
SSPU,S&P EURO
SSRF,S&P Preferred Stock Index
SSRW,Revenue Shares Small Cap Fund
SSTR,SPECTRUM-Long/Short 8% Index TR [NEWVA]
SSTU,S&P 500 EQUAL WEIGHTED Utilities & Telecommunica
SSUC,S&P GSCI Capped Component 35/20 Index
SSUP,S&P GSCI Capped Component 35/20 Index Excess Ret
SSUT,S&P GSCI Capped Component 35/20 Index Total Retu
SSWP,S&P GSCI Select Equal Weight Index Er
SSWT,Credit Suisse Water Index
SSXP,Credit Suisse Social Awareness Index [Price]
SSXT,DWS Swi X Index [NetTRw/fees]
STCE,S&P Global Clean Energy Index [EURO]
STCL,S&P Global Clean Energy Index
STDA,S&P Target Date Retirement Income Index
STDB,S&P Target Date 2010 Index
STDC,S&P Target Date 2015 Index
STDD,S&P Target Date 2020 Index
STDE,S&P Target Date 2025 Index
STDF,S&P Target Date 2030 Index
STDG,S&P Target Date 2035 Index
STDH,S&P Target Date 2040 Index
STDI,S&P Target Date 2045 Index
STFE,S&P Global Timber and Forestry Index [EURO]
STFU,S&P Global Timber and Forestry Index
STI,Straits Times - Singapore
STIC,S&P CTI Total Return USD
STIF,S&P Global Infrastructure Index [EURO]
STIL,SGI Smart WTI Long Invest Index [NEWVA]
STIR,S&P Global Infrastructure Index
STIS,S&P Commodity Trends Indicator
STMP,Tortoise MLP Index
STNC,Tsx American Preferred Stock Index
STNU,S&P/Tsx North American Pref Stock Index
STOXX,DJ Stoxx 50 Index Euro
STRA,S&P Target Risk Aggressive Index
STRB,S&P Target Risk Moderate Index
STRC,S&P Target Risk Growth Index
STRD,S&P Target Risk Conservative Index
STRL,S&P LAC40 [US$] [NetTR]
STRN,S&P 500 [NetTR]
STRP,Credit Suisse Water Index [Usd] Price
STRS,S&P 500 TR Short
STRT,S&P 500 Telecommunication Services [TR]
STRU,S&P 500 Household & Personal Products [TR]
STSI,SGI Smart WTI Short Invest Index [NEWVA]
STSU,S&P TOP IX150 Shariah [USD]
STSY,S&P TOP IX150 Shariah
STTR,S&P 500 Technology Hardware & Equipment [TR]
SUCD,S&P Select Sector Capped 20% Consumer Discretion
